link_id,point_id,bearing,side,pano_id,pano_lat,pano_lon,pano_heading,pano_date,buffer_width,buffer_error_code,validity,validity_detail
cluster2_secondary_57_3,3,91.54614347014515,side1,r0exjCKZMcxyKPBm94vfow,33.76410890876173,-84.37999004746703,91.45841217041016,2024-07,5.29,,invalid,Invalid: width out of range
cluster2_secondary_57_3,3,271.5461434701452,side2,r0exjCKZMcxyKPBm94vfow,33.76410890876173,-84.37999004746703,91.45841217041016,2024-07,,0.0,invalid,Invalid: NaN (no width / detection failed)
cluster2_secondary_31_17,2,0.5257458066971026,side2,39AwX145y_ysaKvyfR8CVw,33.76142529244253,-84.41746391719312,0.6418908834457397,2023-01,,0.0,invalid,Invalid: NaN (no width / detection failed)
